Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Link
AP Solar Works,,"S-113,114 Second Floor, Yashwant Plaza, Opp. Railway Station, Indore (M.P.)",+91 88397 12664,Click to get email address,https://apsolar.co.in,India,"Business Details
On-Grid / Off-Grid Off-grid
Installation size (S)maller Installations
Operating Area India",,,,,,,,,,,Off-grid,(S)maller Installations,India,,,,,,,,,,Off-grid,(S)maller Installations,India,,,,,,,,,India,,,,,,,,,,,,,,,,"22 Mar 2021
Update Above Information",,https://www.enfsolar.com/ap-solar-works?directory=installer&utm_source=ENF&utm_medium=India&utm_content=114741&utm_campaign=profiles_installer
Apaar Energy,,"41, Shivaji Marg, Ghasyari Mandi, Aminabad, Lucknow, Uttar Pradesh, 226018",+91 84290 22201,Click to get email address,https://apaarenergy.com,India,"Business Details
On-Grid / Off-Grid Off-grid
Installation size (S)maller Installations
Operating Area India
Panel Suppliers Luminous Power Technologies Pvt. Ltd.
Inverter Suppliers Waaree Energies Ltd",,,,,,,,,,,Off-grid,(S)maller Installations,India,,,,,,,,,,Off-grid,(S)maller Installations,India,Luminous Power Technologies Pvt. Ltd.,Waaree Energies Ltd,,,,,,,India,Luminous Power Technologies Pvt. Ltd.,Waaree Energies Ltd,,,,,,,,,,,,,,"5 Mar 2021
Update Above Information",,https://www.enfsolar.com/apaar-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=130694&utm_campaign=profiles_installer
Apex Sustains,,"Sringapuram, Kodungallur, Kerala, 680664",+91 80754 67240,https://apexsustains.ueniweb.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"19 Jun 2020
Update Above Information",,https://www.enfsolar.com/apex-sustains?directory=installer&utm_source=ENF&utm_medium=India&utm_content=124918&utm_campaign=profiles_installer
Apjak Infra Pvt Ltd,,"29/C3, GSSM Apartment, Sallimalai Road, Rameswaram, Ramanathapuram Dist., Tamilnadu, 623526",+91 96006 64744,apjakinfra.com/,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"15 Jan 2021
Update Above Information",,https://www.enfsolar.com/apjak-infra-pvt-ltd?directory=installer&utm_source=ENF&utm_medium=India&utm_content=129684&utm_campaign=profiles_installer
APM Projects Pvt. Ltd.,,"Vaibhav Tower, 614, Vaisali Nagar",+91 99290 03265,www.apmppl.com,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"8 Nov 2019
Update Above Information",,https://www.enfsolar.com/apm-projects?directory=installer&utm_source=ENF&utm_medium=India&utm_content=119469&utm_campaign=profiles_installer
APN Solar Energy Pvt. Ltd.,,"Space 912 Corporate Park Office, No. 401, Pleasant Park Above Brand, Factory Mira Bhayander Road Mira, Road East - 401107",+91 9769 711216,www.apnsolar.com,India,,APN Solar,APN Solar,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 Nov 2020
Update Above Information",https://www.enfsolar.com/apn-solar-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=106833&utm_campaign=profiles_installer
Apna Solar,,"Laxyo House, Country Park, Plot No. 2, MR-5, Mahalaxmi Nagar, Indore 452010",+91 731 4996625,www.apnasolar.in,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,"Design, Monitoring",India,,,,,,,,,,,,,,,"16 Dec 2019
Update Above Information",,https://www.enfsolar.com/apna-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120398&utm_campaign=profiles_installer
Apollo Power Systems Pvt. Ltd.,,"#31, 1st Floor, 1st Main Road, Chamarajpet, Bangalore 560 018, Karnataka",+91 80 2650002,https://www.apollopowersystems.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"9 Nov 2020
Update Above Information",,https://www.enfsolar.com/apollo-power-systems?directory=installer&utm_source=ENF&utm_medium=India&utm_content=39279&utm_campaign=profiles_installer
Apollo Solar Power,,"B/5240, Mahavir Nagar -1, Opp. Sardar Patel School, Kaliyabid, Bhavnagar, Gujarat 364002",+91 81408 40955,www.apollosolarpowers.com,India,,"Business Details
On-Grid / Off-Grid On-grid, Off-grid
Installation size (S)maller Installations
Other Services Design
Operating Area India",,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,Design,India,,,,,,,,,,,,,,,"28 Jun 2020
Update Above Information",,https://www.enfsolar.com/apollo-solar-power?directory=installer&utm_source=ENF&utm_medium=India&utm_content=85367&utm_campaign=profiles_installer
Aakash Powertech Pvt. Ltd.,,"501-505 A Wing, Express Zone, Western Express Highway, Malad (East), Mumbai - 400097",+91 22 61441600,www.aakashpower.com,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,Monitoring,India,,,,,,,,,,,,,,,"15 Jan 2020
Update Above Information",,https://www.enfsolar.com/appl-1?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121341&utm_campaign=profiles_installer
Aatash Power Pvt. Ltd.,,"213, Dev Arc Comercial Complex, Nr. Iscon Cross Roads, S.G. Highway, Ahmedabad, 380015",+91 79 26923983,aatash.com/appl/,India,,,,,,,,,Off-grid,"(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,Off-grid,"(S)maller Installations, 1(M)Wp+ Installations",India,Aatash Group,,,,,,,,,,,,,,,"11 Dec 2020
Update Above Information",,https://www.enfsolar.com/aatash-power-pvt-ltd?directory=installer&utm_source=ENF&utm_medium=India&utm_content=128875&utm_campaign=profiles_installer
Agrawal Power Pvt Ltd,,"Sector F, Opposite MPSEB Substation Industrial, Govindpura, 462023",+91 755 4277218,www.agrawalpower.in,India,,,,,,,,,Design,India,,,,,,,,,,,,,,,,,,,,,,,,Design,India,,,,,,,,,,,,,,,,,"21 Sep 2020
Update Above Information",,https://www.enfsolar.com/appl-2?directory=installer&utm_source=ENF&utm_medium=India&utm_content=115664&utm_campaign=profiles_installer
Applied Electronics & Electricals,,"RIICO S4 -101, Near DIC Office, Near Railway Crossing, MIA, Madri, Udaipur 313003, Rajasthan",+91 294 2493641,www.appliedelectronics.in,India,,,,,,,,,Off-grid,India,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,India,,,,,,,,,,,,,,,,,"10 Dec 2020
Update Above Information",,https://www.enfsolar.com/applied-electronics-electricals?directory=installer&utm_source=ENF&utm_medium=India&utm_content=83325&utm_campaign=profiles_installer
APS Infratech Services Pvt. Ltd.,,"Plot No-307, Indira Gandhi Housing Colony, Sisupalgarh, Bhubaneswar -751002",+91 90786 94206,apsinfratech.com,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"8 Jan 2020
Update Above Information",,https://www.enfsolar.com/aps-infratech-services?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121004&utm_campaign=profiles_installer
Alpha Power Systems and Services,,"31-33-102/10, Ground Floor G7, Vishnu Plaza Dabagardens, Opp. Leela Mahal, Visakhapatnam, 530020",+91 80480 36097,www.alphapowersystems.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"1 Mar 2021
Update Above Information",,https://www.enfsolar.com/apss?directory=installer&utm_source=ENF&utm_medium=India&utm_content=116272&utm_campaign=profiles_installer
Apt Engineering Enterprises,,"ELP-XVI-53, Prathyasha Bhavan Road, Kannur, Kerala, 670006",+91 497 2725963,https://apt-engineering-enterprises.busine...,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,India,Flin Energy,,,,,,,,,,,,,,,3 Feb 2021,,https://www.enfsolar.com/apt-engineering-enterprises?directory=installer&utm_source=ENF&utm_medium=India&utm_content=101703&utm_campaign=profiles_installer
APT Solar,,"No. 9, Red Hills, Puzhal Road, Surapet, Chennai 600053",+91 8939 665951,www.aptsolar.in,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,India,Applied Technology,,,,,,,,,,,,,,,"17 Mar 2021
Update Above Information",,https://www.enfsolar.com/apt-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=106372&utm_campaign=profiles_installer
Aqua-Air Environmental Engineers Pvt. Ltd.,,"403, Center Point, Nr. Kadiwala School, Ring Road, Surat 395002, Gujarat",+91 261 2460854,www.aqua-air.co.in,India,,55,,,,,,,,,On-grid,(S)maller Installations,,,,On-grid,(S)maller Installations,"Evaluation, Design",India,Suniva Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22 Apr 2020
Update Above Information",https://www.enfsolar.com/aqua-air-1?directory=installer&utm_source=ENF&utm_medium=India&utm_content=95580&utm_campaign=profiles_installer
AR Morgan Hydrosolar Energy Pvt. Ltd.,,"206-207 Second Floor, Vardhman Dwarka Plaza, MLU, Sector 6, Central Market, Dwarka New Delhi-110075",armorganhydrosolar.com,India,,,,,,,,,,"On-grid, Off-grid",1(M)Wp+ Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",1(M)Wp+ Installations,Design,India,"Kyocera Corporation, Suntech Power Co., Ltd., Canadian Solar Inc.","Morningstar Corporation, SMA Solar Technology AG, Fronius International GmbH, Victron Energy BV, Power-One Micro Systems Pvt. Ltd.",,,,,,,,,,,,,"19 Jan 2020
Update Above Information",,https://www.enfsolar.com/ar-morgan-hydrosolar-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121054&utm_campaign=profiles_installer
AR Solar Solution,,"Flat No. E/2, Nandawan Gharkul Parisar, Vyankatesh Nagar, Besides K.D.K. College, Nandanwan, Nagpur, Maharashtra, 440009",+91 90297 73242,arsolarsolution.com/,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"29 Sep 2020
Update Above Information",,https://www.enfsolar.com/ar-solar-solution?directory=installer&utm_source=ENF&utm_medium=India&utm_content=126812&utm_campaign=profiles_installer
Aran Solutions Pvt Ltd.,,Raipur Chhattisgarh,+91 8234942348,https://aransolutions.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,"Delta Electronics, Inc.",,,,,,,,,,,,,,,"2 Apr 2020
Update Above Information",,https://www.enfsolar.com/aran-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123260&utm_campaign=profiles_installer
Arbutus Consultants Pvt Ltd,,"J 507-11, West Wing, Mega Center, Magarpatta, Hadapsar, Pune 411028, Maharashtra",+91 20 26890141,https://www.arbutusconsultants.com,India,,,,,,,,,2005,"(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,2005,"(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design",India,,,,,,,,,,,,,,,"11 May 2020
Update Above Information",,https://www.enfsolar.com/arbutus-consultants?directory=installer&utm_source=ENF&utm_medium=India&utm_content=23709&utm_campaign=profiles_installer
ARC Renewables Private Limited,,"385, Udyog Vihar, Phase-4, Gurugram-122015",+91 124 4242428,www.arcrenewables.in,India,,,,,,,,,2011,"On-grid, Off-grid",,,,,,,,,,,,,,,,,,,,,,,,2011,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,1 Jan 2021,,https://www.enfsolar.com/arc-renewables?directory=installer&utm_source=ENF&utm_medium=India&utm_content=82054&utm_campaign=profiles_installer
Arcedo Systems,,"Plot No. 1486, 402, 4th Floor, Pragathi Nagar, Hyderabad",+91 986 6966678,arcedo.net/,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,,"15 May 2020
Update Above Information",,https://www.enfsolar.com/arcedo-systems?directory=installer&utm_source=ENF&utm_medium=India&utm_content=124361&utm_campaign=profiles_installer
Arcman Energy Solutions Pvt. Ltd.,,"Office No. 32, Ascent Business Centre, Sej Plaza, Near Nutan School, Marve Road, Malad West, Mumbai, Maharashtra 400064",+91 8879 665455,www.arcmanenergy.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"24 Mar 2021
Update Above Information",,https://www.enfsolar.com/arcman-energy-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=107669&utm_campaign=profiles_installer
Ardour Power,,"F -14, Paras Residency, Wing A, Near Kate Petroleum, Pimple Saudagar, Pune, 411027, Maharashtra",+91 777 5816644,www.ardourpower.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Design, Monitoring",India,,,,,,,,,,,,,,,"6 May 2020
Update Above Information",,https://www.enfsolar.com/ardour-power?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123653&utm_campaign=profiles_installer
Arete Powertech Private Limited,,"H-143, First Floor, Guru Nanak Market, Lal Kuan, Mehrauli Badarpur Road, New Delhi",+91 99109 04079,aretepowertech.com,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,"17 Feb 2020
Update Above Information",,https://www.enfsolar.com/arete-powertech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=108466&utm_campaign=profiles_installer
ARG Energy,,+91 904 3044062,argenergy.com,India,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,"REC Group, Trina Solar Limited, LONGi Solar Technology Co., Ltd., RenewSys India Private Limited","SMA Solar Technology AG, Sungrow Power Supply Co., Ltd., Enphase Energy, Inc., REFU Elektronik GmbH, Shenzhen Growatt New Energy Technology Co., Ltd.",YS Ventures Pvt. Ltd.,,,,,,,,,,,,,"31 Oct 2019
Update Above Information",,https://www.enfsolar.com/arg-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=119349&utm_campaign=profiles_installer
Argo Solar Private Limited,,"#102, Sai Balaji Towers, Plot No. 109, Patrika Nagar, Hitech City, Madhapur, Hyderabad 500081 Telangana",+91 9652 620077,argosolar.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"22 Dec 2020
Update Above Information",,https://www.enfsolar.com/argo-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=76863&utm_campaign=profiles_installer
Arihaa Solar,,"150 Ring Road, Nanavati Chowk, Opp. Jasal Complex, Rajkot -360 006",+91 97374 44376,www.arihaasolar.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design",India,,,,,,,,,,,,,,,"11 Dec 2019
Update Above Information",,https://www.enfsolar.com/arihaa-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120242&utm_campaign=profiles_installer
Arin Energy,,"Plot No. 11, #F-4, Ajinkya Complex, Shastri Layout, Khamla, Nagpur, Maharashtra 440022",+91 712 2295538,Click to get email address,www.arinenergy.com,India,"Business Details
Installation Starting Date 2017
Free Maintenance Years 3
On-Grid / Off-Grid On-grid, Off-grid
Installation size (S)maller Installations
Other Services Evaluation, Design, Training
Operating Area India
Inverter Suppliers SolaX Power Network Technology(Zhejiang) Co.,Ltd., Polycab India Limited",,,,,,,,,,,2017,3,"On-grid, Off-grid",,,,,,,,,,2017,3,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design, Training",India,"SolaX Power Network Technology(Zhejiang) Co.,Ltd., Polycab India Limited",,,,,,,"Evaluation, Design, Training",India,"SolaX Power Network Technology(Zhejiang) Co.,Ltd., Polycab India Limited",,,,,,,,,,,,9 Oct 2020,,https://www.enfsolar.com/arin-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=118533&utm_campaign=profiles_installer
Aris Solar,,"40, Shalin Complex, Near EVA Mall, Manjalpur, Vadodara-390011",+91 966 2336115,www.arissolar.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,"Waaree Energies Ltd, Merlin Solar Technologies, Inc.",,,,,,,,,,,,,,,"11 Dec 2019
Update Above Information",,https://www.enfsolar.com/aris-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120239&utm_campaign=profiles_installer
Arising Solar Energies LLP,,"Plot No. 10, Ravidas Nagar, Nizamuddin Tiraha, In front of Tea Point, Indrapuri Bhopal, Madhya Pradesh 462022",+91 79878 42385,arising-solar-energies-llp.business.site,India,,,,,,,,,(S)maller Installations,"Evaluation, Design",,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,"Evaluation, Design",India,,,,,,,,,,,,,,,,"4 Dec 2019
Update Above Information",,https://www.enfsolar.com/arising-solar-energies?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120038&utm_campaign=profiles_installer
Arista Enterprises,,"Dawdi, Regency Road Dombivali, Maharashtra 421201",+91 98673 45902,arista-enterprises.business.site,India,,,,,,,,,(S)maller Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Design,India,,,,,,,,,,,,,,,,"11 Dec 2019
Update Above Information",,https://www.enfsolar.com/arista-enterprises?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120237&utm_campaign=profiles_installer
Aristosol Powers Pvt. Ltd.,,"2nd Floor, 1share office, 12, sant nagar, East of Kailash, New Delhi 110065",+91 96259 63138,aristosol.com,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,Design,India,,,,,,,,,,,,,,,"19 Dec 2019
Update Above Information",,https://www.enfsolar.com/aristosol-powers?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120506&utm_campaign=profiles_installer
Arisys Technologies,,"102, Bapu Bhavan, DK Road, Ameerpet, Hyderabad, Telangana",+91 99636 17383,arisys.in/,India,,,,,,,,,(S)maller Installations,"United Kingdom, India",,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,"United Kingdom, India","Hanwha Q CELLS GmbH, Yingli Green Energy Holding Co., Ltd., Kyocera Corporation, Trina Solar Limited, Canadian Solar Inc., Sharp Energy Solutions Europe, First Solar, Inc., ReneSola Ltd., Jinko Solar Holding Co., Ltd.","Ingeteam Power Technology Energy SA, SMA Solar Technology AG, Fimer S.p.A., Schneider Electric SA",,,,,,,,,,,,,,,"11 Dec 2020
Update Above Information",,https://www.enfsolar.com/arisys-technologies?directory=installer&utm_source=ENF&utm_medium=India&utm_content=128879&utm_campaign=profiles_installer
Arkà Clean Technologies LLP,,Pune,+91 982 3081757,www.arkatechnologies.in,India,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,,"29 Jan 2021
Update Above Information",,https://www.enfsolar.com/ark-1?directory=installer&utm_source=ENF&utm_medium=India&utm_content=95072&utm_campaign=profiles_installer
Arka Eco Solutions LLP,,"#523, B33 Near Nisarga Ground, Yelehanka, New Town -560064",+91 70197 96975,https://arkaecosolutions.co.in,India,,,,,,,,,(S)maller Installations,"Design, Monitoring",,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,"Design, Monitoring",India,,,,,,,,,,,,,,,,"23 Feb 2020
Update Above Information",,https://www.enfsolar.com/arka-eco-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=122385&utm_campaign=profiles_installer
Arka Energy Solutions,,"Plot No. 61, Survey No. 201/2, Tar Bund, Secunderabad, Telangana, 500009",+91 89858 50555,arka-energy-solutions.business.site/,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,Waaree Energies Ltd,,,,,,,,,,,,,,,"18 May 2020
Update Above Information",,https://www.enfsolar.com/arka-energy-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=124385&utm_campaign=profiles_installer
Arka Energy Tech,,"B2/1, Parijatak Appartments, Naikwadi, Nagar osmanabad, Maharashtra 413501",+91 96046 25664,https://arka-energy-tech.business.site,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"24 Feb 2020
Update Above Information",,https://www.enfsolar.com/arka-energy-tech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=122417&utm_campaign=profiles_installer
Arka Power Build Technologies Pvt Ltd.,,"No. 12-13-844, Gokul Nagar, Street No. 12 Secunderabad, 500017, Telangana",+91 8499 834449,arkapowerbuild.com,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,"31 Jul 2020
Update Above Information",,https://www.enfsolar.com/arka-power-build-technologies-1-2?directory=installer&utm_source=ENF&utm_medium=India&utm_content=99294&utm_campaign=profiles_installer
Arka Sol-R,,"#869. Ground floor, Uttarahalli Kengeri Main Road, Near R N S I T College, opp Adishwar Show Room, Channasandra Circle, Rajarajeshwari Nagra, Bangalore. 560098",+91 96118 39839,www.arkasolar.com,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,Design,India,,,,,,,,,,,,,,,"24 Feb 2020
Update Above Information",,https://www.enfsolar.com/arka-sol-r?directory=installer&utm_source=ENF&utm_medium=India&utm_content=122419&utm_campaign=profiles_installer
Arkay Solar Energy,,"13, Patel Boarding, Opp. Laxminarayan Temple, Station Road, Amreli, Gujarat, 365601",+91 2792 223600,arkaysolar.in/,India,,,,,,,,,Off-grid,"(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,Off-grid,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,"17 Sep 2020
Update Above Information",,https://www.enfsolar.com/arkay-solar-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=90745&utm_campaign=profiles_installer
Arkaya Technology Pvt. Limited,,"3/1, 2nd Floor, P&T Colony, RT Nagar Main road, Bengaluru-560032, Karnataka",+91 98807 07333,www.arkayatech.com,India,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations","Design, Monitoring",,,,,,,,,,,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations","Design, Monitoring",India,,,,,,,,,,,,,,,,"19 Dec 2019
Update Above Information",,https://www.enfsolar.com/arkaya-technology?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120502&utm_campaign=profiles_installer
Arken Solutions Pvt. Ltd.,,"#69, Aga Abbas Ali Road, Bangalore, 560042 Karnataka",+91 80 25586870,www.arkensolutions.com,India,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",Design,,,,,,,,,,,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,,,"16 Apr 2020
Update Above Information",,https://www.enfsolar.com/arken?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123689&utm_campaign=profiles_installer
ARM Renewables,,"Plot No: 28/2 Near Ashoka Rice Mills, Industrial Area Sirsa (Hry.)",+91 7027 103300,armrenewables.com,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,"9 Apr 2020
Update Above Information",,https://www.enfsolar.com/arm-renewables?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123315&utm_campaign=profiles_installer
Arnavtech Solar Private Limited,,"Flat No. 303, Jeevandeep Society, Queta Colony Road, Near Union Bank of India, Bagadganj, Nagpur-440008",+91 79770 20169,https://arnavtechsolar.com,India,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",Design,,,,,,,,,,,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,,,"11 Feb 2020
Update Above Information",,https://www.enfsolar.com/arnavtech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=109785&utm_campaign=profiles_installer
Arpan Enterprise,,"Nischinda, Dewanchak, Ghoshpara Bally, Howrah, 711227",+91 94330 82428,https://arpanenterpriseindia.com,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"10 Apr 2020
Update Above Information",,https://www.enfsolar.com/arpan-enterprise?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123545&utm_campaign=profiles_installer
Array Electricals LLP,,"Shagun Society, Near 15 August Chowk, Somwar Peth, Pune, Maharashtra 411011",+91 95528 48612,https://array-electricals-llp.ueniweb.com,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,Evaluation,India,,,,,,,,,,,,,,,"23 Apr 2020
Update Above Information",,https://www.enfsolar.com/array-electricals?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123713&utm_campaign=profiles_installer
Array Energy Solution,,"68, Sharadnagar, Near ITI, Tarsali, Vadodara – 3900094, Umiyakunj Society, Opp Vardhman Complex, Shubhanpura – 390023",+91 7016 26835,www.arrayenergysolution.com,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,Design,India,,,,,,,,,,,,,,,"11 Dec 2019
Update Above Information",,https://www.enfsolar.com/array-energy-solution?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120233&utm_campaign=profiles_installer
